DeceptiveMaze: 2026-05-04 02:37:21,417 [INFO] ==================================================
DeceptiveMaze: 2026-05-04 02:37:32,269 [INFO] [TEST] Iter=425, #tests=32, raw_max=100.000, raw_avg=84.375, success_rate=0.844
DeceptiveMaze: 2026-05-04 02:37:32,589 [INFO] Iter=440, raw_max=100.000, raw_avg=4.688, raw_min=0.000, arch=829, novelty_avg=4.58
DeceptiveMaze: 2026-05-04 02:37:32,783 [INFO] [TEST] Iter=450, #tests=32, raw_max=100.000, raw_avg=84.375, success_rate=0.844
DeceptiveMaze: 2026-05-04 02:37:32,982 [INFO] Iter=460, raw_max=100.000, raw_avg=4.167, raw_min=0.000, arch=829, novelty_avg=4.86
DeceptiveMaze: 2026-05-04 02:37:33,310 [INFO] [TEST] Iter=475, #tests=32, raw_max=100.000, raw_avg=81.250, success_rate=0.812
DeceptiveMaze: 2026-05-04 02:37:33,407 [INFO] Iter=480, raw_max=66.667, raw_avg=4.167, raw_min=0.000, arch=830, novelty_avg=4.88
DeceptiveMaze: 2026-05-04 02:37:33,829 [INFO] Iter=500, raw_max=100.000, raw_avg=1.562, raw_min=0.000, arch=833, novelty_avg=4.75
DeceptiveMaze: 2026-05-04 02:37:33,832 [INFO] [TEST] Iter=500, #tests=32, raw_max=100.000, raw_avg=90.625, success_rate=0.906
DeceptiveMaze: 2026-05-04 02:37:34,254 [INFO] Iter=520, raw_max=100.000, raw_avg=3.125, raw_min=0.000, arch=833, novelty_avg=4.74
DeceptiveMaze: 2026-05-04 02:37:34,360 [INFO] [TEST] Iter=525, #tests=32, raw_max=100.000, raw_avg=93.750, success_rate=0.938
DeceptiveMaze: 2026-05-04 02:37:34,691 [INFO] Iter=540, raw_max=100.000, raw_avg=1.562, raw_min=0.000, arch=836, novelty_avg=4.68
DeceptiveMaze: 2026-05-04 02:37:34,898 [INFO] [TEST] Iter=550, #tests=32, raw_max=100.000, raw_avg=84.375, success_rate=0.844
DeceptiveMaze: 2026-05-04 02:37:35,130 [INFO] Iter=560, raw_max=66.667, raw_avg=2.083, raw_min=0.000, arch=836, novelty_avg=4.89
DeceptiveMaze: 2026-05-04 02:37:35,470 [INFO] [TEST] Iter=575, #tests=32, raw_max=100.000, raw_avg=93.750, success_rate=0.938
DeceptiveMaze: 2026-05-04 02:37:35,569 [INFO] Iter=580, raw_max=100.000, raw_avg=4.688, raw_min=0.000, arch=836, novelty_avg=4.91
DeceptiveMaze: 2026-05-04 02:37:35,989 [INFO] Iter=600, raw_max=100.000, raw_avg=7.813, raw_min=0.000, arch=836, novelty_avg=4.72
DeceptiveMaze: 2026-05-04 02:37:35,994 [INFO] [TEST] Iter=600, #tests=32, raw_max=100.000, raw_avg=90.625, success_rate=0.906
DeceptiveMaze: 2026-05-04 02:37:35,995 [INFO] Training done. best_raw_score=100.000
