Trainer: 2026-05-03 23:19:04,460 [INFO] use_for_loop=False
Trainer: 2026-05-03 23:19:05,679 [INFO] Start to train for 3000 iterations.
Trainer: 2026-05-03 23:21:46,682 [INFO] [TEST] Iter=400, #tests=32, max=528.9152, avg=194.9801, min=0.1777, std=217.1259
Trainer: 2026-05-03 23:21:52,036 [INFO] Iter=410, size=128, max=272.0624, avg=187.4771, min=9.9793, std=69.1562
Trainer: 2026-05-03 23:21:56,037 [INFO] Iter=420, size=128, max=251.5679, avg=149.4891, min=13.1579, std=67.3819
Trainer: 2026-05-03 23:22:00,150 [INFO] Iter=430, size=128, max=216.8663, avg=150.0645, min=10.1397, std=52.4248
Trainer: 2026-05-03 23:22:04,642 [INFO] Iter=440, size=128, max=181.3030, avg=104.8413, min=9.1871, std=50.3257
Trainer: 2026-05-03 23:22:09,137 [INFO] Iter=450, size=128, max=183.3275, avg=112.4966, min=10.8356, std=45.1865
Trainer: 2026-05-03 23:22:09,177 [INFO] [TEST] Iter=450, #tests=32, max=518.9700, avg=197.9553, min=-0.0185, std=222.8872
Trainer: 2026-05-03 23:22:13,197 [INFO] Iter=460, size=128, max=155.0864, avg=111.3097, min=15.1745, std=27.3663
Trainer: 2026-05-03 23:22:17,018 [INFO] Iter=470, size=128, max=295.1546, avg=199.7023, min=13.8198, std=78.6545
Trainer: 2026-05-03 23:22:21,138 [INFO] Iter=480, size=128, max=221.7551, avg=132.5553, min=9.2951, std=55.1963
Trainer: 2026-05-03 23:22:25,560 [INFO] Iter=490, size=128, max=164.8743, avg=103.1616, min=6.6407, std=40.8185
Trainer: 2026-05-03 23:22:31,757 [INFO] Iter=500, size=128, max=249.7268, avg=170.0408, min=5.2546, std=72.9640
Trainer: 2026-05-03 23:22:31,773 [INFO] [TEST] Iter=500, #tests=32, max=559.6093, avg=235.4372, min=-0.0096, std=227.3531
Trainer: 2026-05-03 23:22:36,106 [INFO] Iter=510, size=128, max=251.1105, avg=186.2005, min=11.4412, std=59.2278
Trainer: 2026-05-03 23:22:40,857 [INFO] Iter=520, size=128, max=205.7130, avg=146.5021, min=5.2960, std=54.7057
Trainer: 2026-05-03 23:22:44,770 [INFO] Iter=530, size=128, max=254.6972, avg=178.2897, min=13.2920, std=56.8279
Trainer: 2026-05-03 23:22:48,784 [INFO] Iter=540, size=128, max=123.5287, avg=81.3467, min=9.4246, std=27.8764
Trainer: 2026-05-03 23:22:52,941 [INFO] Iter=550, size=128, max=283.7825, avg=177.8906, min=14.7847, std=69.8116
Trainer: 2026-05-03 23:22:52,964 [INFO] [TEST] Iter=550, #tests=32, max=528.5695, avg=201.1509, min=-0.0003, std=224.1201
Trainer: 2026-05-03 23:22:59,492 [INFO] Iter=560, size=128, max=203.1284, avg=131.2327, min=7.4150, std=56.8911
Trainer: 2026-05-03 23:23:07,547 [INFO] Iter=570, size=128, max=180.0417, avg=112.5758, min=4.6996, std=58.5052
Trainer: 2026-05-03 23:23:12,010 [INFO] Iter=580, size=128, max=204.0584, avg=141.8184, min=4.9397, std=47.0604
Trainer: 2026-05-03 23:23:16,024 [INFO] Iter=590, size=128, max=232.7509, avg=149.7591, min=8.4963, std=61.1661
Trainer: 2026-05-03 23:23:20,225 [INFO] Iter=600, size=128, max=189.5781, avg=107.0533, min=5.3306, std=52.9990
Trainer: 2026-05-03 23:23:20,240 [INFO] [TEST] Iter=600, #tests=32, max=578.7930, avg=161.0651, min=-0.0006, std=213.7424
Trainer: 2026-05-03 23:23:25,485 [INFO] Iter=610, size=128, max=151.9373, avg=106.7595, min=9.4253, std=42.6387
Trainer: 2026-05-03 23:23:30,152 [INFO] Iter=620, size=128, max=253.0755, avg=172.6654, min=8.1087, std=54.7237
Trainer: 2026-05-03 23:23:35,231 [INFO] Iter=630, size=128, max=172.9403, avg=120.6280, min=15.2276, std=39.5717
Trainer: 2026-05-03 23:23:40,631 [INFO] Iter=640, size=128, max=251.0275, avg=171.2602, min=10.7854, std=71.2935
Trainer: 2026-05-03 23:23:45,645 [INFO] Iter=650, size=128, max=125.1133, avg=86.5532, min=5.3459, std=35.5907
Trainer: 2026-05-03 23:23:45,666 [INFO] [TEST] Iter=650, #tests=32, max=518.9019, avg=163.8046, min=0.0942, std=208.2540
Trainer: 2026-05-03 23:23:50,867 [INFO] Iter=660, size=128, max=273.0862, avg=191.0674, min=4.0124, std=81.2928
Trainer: 2026-05-03 23:23:55,601 [INFO] Iter=670, size=128, max=272.0456, avg=188.2609, min=6.4192, std=63.8266
Trainer: 2026-05-03 23:24:00,376 [INFO] Iter=680, size=128, max=277.2829, avg=211.1118, min=5.3695, std=64.2185
Trainer: 2026-05-03 23:24:05,150 [INFO] Iter=690, size=128, max=135.0625, avg=88.7242, min=6.7015, std=27.8481
Trainer: 2026-05-03 23:24:10,387 [INFO] Iter=700, size=128, max=232.2959, avg=147.5053, min=4.6929, std=60.4272
Trainer: 2026-05-03 23:24:10,407 [INFO] [TEST] Iter=700, #tests=32, max=509.8784, avg=131.3801, min=0.0266, std=201.2981
Trainer: 2026-05-03 23:24:15,183 [INFO] Iter=710, size=128, max=188.4139, avg=110.6275, min=6.6402, std=44.6046
Trainer: 2026-05-03 23:24:19,618 [INFO] Iter=720, size=128, max=140.4820, avg=89.5359, min=5.0235, std=34.3972
Trainer: 2026-05-03 23:24:24,103 [INFO] Iter=730, size=128, max=208.2709, avg=139.5927, min=8.8945, std=51.4841
Trainer: 2026-05-03 23:24:28,027 [INFO] Iter=740, size=128, max=245.9795, avg=176.2953, min=8.0850, std=68.3863
Trainer: 2026-05-03 23:24:31,934 [INFO] Iter=750, size=128, max=157.3426, avg=108.7720, min=8.5947, std=47.9137
Trainer: 2026-05-03 23:24:31,953 [INFO] [TEST] Iter=750, #tests=32, max=537.1065, avg=200.9769, min=0.0426, std=217.3824
Trainer: 2026-05-03 23:24:36,042 [INFO] Iter=760, size=128, max=191.3745, avg=111.8593, min=6.5136, std=46.4262
Trainer: 2026-05-03 23:24:40,026 [INFO] Iter=770, size=128, max=178.9998, avg=113.8632, min=8.2306, std=43.9679
Trainer: 2026-05-03 23:24:43,866 [INFO] Iter=780, size=128, max=232.3040, avg=140.8502, min=11.8287, std=53.4366
Trainer: 2026-05-03 23:24:47,639 [INFO] Iter=790, size=128, max=158.9216, avg=107.4739, min=6.2988, std=37.7800
Trainer: 2026-05-03 23:24:52,889 [INFO] Iter=800, size=128, max=183.6904, avg=137.6016, min=7.6306, std=47.0939
Trainer: 2026-05-03 23:24:53,192 [INFO] [TEST] Iter=800, #tests=32, max=525.1345, avg=203.3982, min=0.0000, std=221.0892
Trainer: 2026-05-03 23:24:58,368 [INFO] Iter=810, size=128, max=263.0838, avg=166.4080, min=7.8721, std=78.8358
Trainer: 2026-05-03 23:25:05,016 [INFO] Iter=820, size=128, max=221.5583, avg=160.4560, min=7.2650, std=56.6227
Trainer: 2026-05-03 23:25:09,931 [INFO] Iter=830, size=128, max=326.1737, avg=225.0153, min=7.2063, std=101.1239
Trainer: 2026-05-03 23:25:13,811 [INFO] Iter=840, size=128, max=248.8757, avg=185.7687, min=9.8265, std=65.0527
Trainer: 2026-05-03 23:25:17,773 [INFO] Iter=850, size=128, max=248.1239, avg=178.2771, min=7.2564, std=68.4890
Trainer: 2026-05-03 23:25:17,786 [INFO] [TEST] Iter=850, #tests=32, max=504.4157, avg=186.2864, min=0.0131, std=219.3848
Trainer: 2026-05-03 23:25:21,966 [INFO] Iter=860, size=128, max=225.2275, avg=134.1508, min=7.0238, std=59.4000
Trainer: 2026-05-03 23:25:26,020 [INFO] Iter=870, size=128, max=190.7841, avg=152.7910, min=6.6913, std=45.4244
Trainer: 2026-05-03 23:25:29,898 [INFO] Iter=880, size=128, max=173.8662, avg=119.0317, min=9.2589, std=48.5855
Trainer: 2026-05-03 23:25:33,890 [INFO] Iter=890, size=128, max=195.8723, avg=133.2344, min=12.0735, std=53.4514
Trainer: 2026-05-03 23:25:38,250 [INFO] Iter=900, size=128, max=193.7866, avg=135.7999, min=10.2101, std=56.3479
Trainer: 2026-05-03 23:25:38,276 [INFO] [TEST] Iter=900, #tests=32, max=551.5592, avg=201.1090, min=-0.0008, std=223.5341
Trainer: 2026-05-03 23:25:42,296 [INFO] Iter=910, size=128, max=252.7640, avg=183.4550, min=9.9291, std=63.6669
Trainer: 2026-05-03 23:25:46,268 [INFO] Iter=920, size=128, max=242.7120, avg=171.2767, min=6.8929, std=74.1476
Trainer: 2026-05-03 23:25:50,234 [INFO] Iter=930, size=128, max=231.7982, avg=153.8326, min=10.5367, std=62.3179
Trainer: 2026-05-03 23:25:54,177 [INFO] Iter=940, size=128, max=224.7204, avg=169.5093, min=9.4457, std=54.7636
Trainer: 2026-05-03 23:25:59,287 [INFO] Iter=950, size=128, max=293.9631, avg=197.1195, min=9.5199, std=71.8406
Trainer: 2026-05-03 23:25:59,351 [INFO] [TEST] Iter=950, #tests=32, max=493.9333, avg=192.3336, min=-0.0028, std=214.6951
Trainer: 2026-05-03 23:26:06,684 [INFO] Iter=960, size=128, max=247.6272, avg=166.8040, min=7.8286, std=75.4081
Trainer: 2026-05-03 23:26:12,012 [INFO] Iter=970, size=128, max=403.0921, avg=262.4283, min=15.1778, std=108.8143
Trainer: 2026-05-03 23:26:16,535 [INFO] Iter=980, size=128, max=211.0531, avg=150.8848, min=3.4454, std=60.3334
Trainer: 2026-05-03 23:26:23,297 [INFO] Iter=990, size=128, max=335.6567, avg=248.0138, min=5.3633, std=86.5659
Trainer: 2026-05-03 23:26:32,435 [INFO] Iter=1000, size=128, max=246.2200, avg=168.6656, min=10.1112, std=65.6540
Trainer: 2026-05-03 23:26:32,469 [INFO] [TEST] Iter=1000, #tests=32, max=533.3106, avg=194.9899, min=-0.0044, std=230.8575
