SlimeVolleyNEAT: 2026-04-16 03:12:37,925 [INFO] EvoJAX SlimeVolley NEAT
SlimeVolleyNEAT: 2026-04-16 03:12:37,926 [INFO] ==============================
SlimeVolleyNEAT: 2026-04-16 03:12:37,927 [INFO] NEAT: pop_size=16, n_inputs=12, n_outputs=3, max_hidden=16, max_connections=160, param_size=687
SlimeVolleyNEAT: 2026-04-16 03:12:37,927 [INFO] use_for_loop=False
SlimeVolleyNEAT: 2026-04-16 03:12:38,246 [INFO] Start to train for 10 iterations.
SlimeVolleyNEAT: 2026-04-16 03:38:56,500 [INFO] Iter=270, size=128, max=-0.1250, avg=-23.9077, min=-35.4375, std=10.6909
SlimeVolleyNEAT: 2026-04-16 03:39:34,204 [INFO] Iter=280, size=128, max=-0.5000, avg=-24.3975, min=-35.6875, std=9.9685
SlimeVolleyNEAT: 2026-04-16 03:40:13,675 [INFO] Iter=290, size=128, max=-0.1875, avg=-23.9731, min=-35.8750, std=9.6991
SlimeVolleyNEAT: 2026-04-16 03:40:54,810 [INFO] Iter=300, size=128, max=0.0000, avg=-23.7285, min=-35.0625, std=9.8059
SlimeVolleyNEAT: 2026-04-16 03:40:55,109 [INFO] [TEST] Iter=300, #tests=100, max=5.0000, avg=-0.2600, min=-4.0000, std=1.4739
SlimeVolleyNEAT: 2026-04-16 03:41:31,626 [INFO] Iter=310, size=128, max=-0.0625, avg=-22.7754, min=-35.8750, std=10.1231
SlimeVolleyNEAT: 2026-04-16 03:42:07,803 [INFO] Iter=320, size=128, max=-0.2500, avg=-21.9463, min=-34.7500, std=10.3199
SlimeVolleyNEAT: 2026-04-16 03:42:47,227 [INFO] Iter=330, size=128, max=-0.3125, avg=-21.4072, min=-36.6875, std=11.8922
SlimeVolleyNEAT: 2026-04-16 03:43:27,841 [INFO] Iter=340, size=128, max=-0.1250, avg=-24.2866, min=-36.5000, std=9.9556
SlimeVolleyNEAT: 2026-04-16 03:44:04,084 [INFO] Iter=350, size=128, max=-0.1875, avg=-20.6782, min=-35.3750, std=11.6609
SlimeVolleyNEAT: 2026-04-16 03:44:04,384 [INFO] [TEST] Iter=350, #tests=100, max=4.0000, avg=-0.3900, min=-5.0000, std=1.6727
SlimeVolleyNEAT: 2026-04-16 03:44:40,975 [INFO] Iter=360, size=128, max=-0.1250, avg=-22.4990, min=-35.9375, std=10.6243
SlimeVolleyNEAT: 2026-04-16 03:45:18,158 [INFO] Iter=370, size=128, max=-0.1250, avg=-21.7603, min=-35.4375, std=11.3492
SlimeVolleyNEAT: 2026-04-16 03:45:55,213 [INFO] Iter=380, size=128, max=-0.1250, avg=-22.8315, min=-36.0625, std=10.3725
SlimeVolleyNEAT: 2026-04-16 03:46:31,785 [INFO] Iter=390, size=128, max=-0.1875, avg=-21.4478, min=-35.3125, std=11.3153
SlimeVolleyNEAT: 2026-04-16 03:47:09,508 [INFO] Iter=400, size=128, max=-0.0625, avg=-20.4189, min=-35.5625, std=11.6346
SlimeVolleyNEAT: 2026-04-16 03:47:09,808 [INFO] [TEST] Iter=400, #tests=100, max=4.0000, avg=-0.5500, min=-5.0000, std=1.5322
SlimeVolleyNEAT: 2026-04-16 03:47:45,824 [INFO] Iter=410, size=128, max=-0.3125, avg=-20.5430, min=-34.6875, std=12.1775
SlimeVolleyNEAT: 2026-04-16 03:48:17,388 [INFO] Iter=420, size=128, max=-0.4375, avg=-21.6606, min=-35.8750, std=11.5078
SlimeVolleyNEAT: 2026-04-16 03:48:53,096 [INFO] Iter=430, size=128, max=0.0625, avg=-20.7881, min=-35.5625, std=12.3288
SlimeVolleyNEAT: 2026-04-16 03:49:25,765 [INFO] Iter=440, size=128, max=-0.1875, avg=-24.3057, min=-35.5000, std=9.9554
SlimeVolleyNEAT: 2026-04-16 03:49:57,854 [INFO] Iter=450, size=128, max=-0.1250, avg=-23.1958, min=-35.6250, std=11.6278
SlimeVolleyNEAT: 2026-04-16 03:49:58,124 [INFO] [TEST] Iter=450, #tests=100, max=4.0000, avg=-0.0100, min=-5.0000, std=1.6462
SlimeVolleyNEAT: 2026-04-16 03:50:37,593 [INFO] Iter=460, size=128, max=-0.1875, avg=-21.1411, min=-36.3125, std=12.4488
SlimeVolleyNEAT: 2026-04-16 03:51:10,757 [INFO] Iter=470, size=128, max=-0.0625, avg=-21.1680, min=-36.4375, std=12.7201
SlimeVolleyNEAT: 2026-04-16 03:51:43,763 [INFO] Iter=480, size=128, max=0.5625, avg=-18.2485, min=-35.5000, std=12.3059
SlimeVolleyNEAT: 2026-04-16 03:52:17,790 [INFO] Iter=490, size=128, max=0.1250, avg=-18.3521, min=-34.9375, std=12.8260
