Trainer: 2026-04-16 04:52:16,643 [INFO] use_for_loop=False
Trainer: 2026-04-16 04:52:16,671 [INFO] Start to train for 1000 iterations.
Trainer: 2026-04-16 04:55:09,963 [INFO] [TEST] Iter=400, #tests=32, max=793.3784, avg=551.0516, min=0.1924, std=317.7320
Trainer: 2026-04-16 04:55:12,896 [INFO] Iter=410, size=128, max=620.4547, avg=568.9908, min=391.1370, std=37.1791
Trainer: 2026-04-16 04:55:15,782 [INFO] Iter=420, size=128, max=612.6454, avg=547.6976, min=407.4030, std=42.3738
Trainer: 2026-04-16 04:55:18,684 [INFO] Iter=430, size=128, max=488.4368, avg=446.1424, min=153.0843, std=40.2979
Trainer: 2026-04-16 04:55:21,678 [INFO] Iter=440, size=128, max=519.0360, avg=471.7535, min=327.7864, std=33.4947
Trainer: 2026-04-16 04:55:24,786 [INFO] Iter=450, size=128, max=556.4119, avg=507.9441, min=205.1936, std=51.5106
Trainer: 2026-04-16 04:55:24,802 [INFO] [TEST] Iter=450, #tests=32, max=810.9913, avg=551.6837, min=-0.0184, std=344.7744
Trainer: 2026-04-16 04:55:27,746 [INFO] Iter=460, size=128, max=482.5139, avg=430.8231, min=230.8348, std=41.5567
Trainer: 2026-04-16 04:55:30,640 [INFO] Iter=470, size=128, max=590.8377, avg=539.1229, min=202.4786, std=52.3035
Trainer: 2026-04-16 04:55:33,616 [INFO] Iter=480, size=128, max=547.2077, avg=489.5532, min=226.3595, std=45.2222
Trainer: 2026-04-16 04:55:36,569 [INFO] Iter=490, size=128, max=376.2589, avg=334.1151, min=182.2273, std=32.4799
Trainer: 2026-04-16 04:55:43,384 [INFO] Iter=500, size=128, max=624.9725, avg=560.6677, min=336.5416, std=46.2669
Trainer: 2026-04-16 04:55:43,427 [INFO] [TEST] Iter=500, #tests=32, max=942.4546, avg=615.8890, min=-0.0095, std=358.9957
Trainer: 2026-04-16 04:55:47,204 [INFO] Iter=510, size=128, max=656.9493, avg=582.3899, min=432.7306, std=42.5460
Trainer: 2026-04-16 04:55:51,057 [INFO] Iter=520, size=128, max=579.9401, avg=465.1129, min=312.7782, std=46.9242
Trainer: 2026-04-16 04:55:54,118 [INFO] Iter=530, size=128, max=652.3818, avg=576.4545, min=362.6021, std=54.8933
Trainer: 2026-04-16 04:55:57,687 [INFO] Iter=540, size=128, max=665.7622, avg=597.9440, min=451.7910, std=48.9891
Trainer: 2026-04-16 04:56:01,397 [INFO] Iter=550, size=128, max=659.3771, avg=578.7924, min=359.1402, std=60.9349
Trainer: 2026-04-16 04:56:01,424 [INFO] [TEST] Iter=550, #tests=32, max=950.8084, avg=640.9319, min=-0.0003, std=371.5326
Trainer: 2026-04-16 04:56:04,403 [INFO] Iter=560, size=128, max=546.0143, avg=478.4924, min=271.3239, std=60.6999
Trainer: 2026-04-16 04:56:07,337 [INFO] Iter=570, size=128, max=383.4608, avg=353.2296, min=209.3860, std=33.1243
Trainer: 2026-04-16 04:56:10,223 [INFO] Iter=580, size=128, max=487.3391, avg=442.3795, min=238.4833, std=42.4551
Trainer: 2026-04-16 04:56:12,986 [INFO] Iter=590, size=128, max=668.4210, avg=614.9180, min=390.2404, std=54.1936
Trainer: 2026-04-16 04:56:15,998 [INFO] Iter=600, size=128, max=613.1946, avg=591.6466, min=463.5004, std=24.1289
Trainer: 2026-04-16 04:56:16,014 [INFO] [TEST] Iter=600, #tests=32, max=937.0891, avg=542.0092, min=-0.0006, std=418.6330
Trainer: 2026-04-16 04:56:18,766 [INFO] Iter=610, size=128, max=441.2026, avg=426.6461, min=351.0586, std=15.4142
Trainer: 2026-04-16 04:56:21,480 [INFO] Iter=620, size=128, max=555.7443, avg=533.5853, min=432.0752, std=19.9639
Trainer: 2026-04-16 04:56:24,214 [INFO] Iter=630, size=128, max=667.5106, avg=644.8076, min=495.1111, std=27.4832
