Trainer: 2026-05-04 00:14:34,146 [INFO] use_for_loop=False
Trainer: 2026-05-04 00:14:34,385 [INFO] Start to train for 6000 iterations.
Trainer: 2026-05-04 00:20:26,922 [INFO] [TEST] Iter=400, #tests=32, max=67.6541, avg=13.9859, min=0.1631, std=15.2606
Trainer: 2026-05-04 00:20:35,190 [INFO] Iter=410, size=128, max=38.0384, avg=19.0372, min=11.3382, std=4.5087
Trainer: 2026-05-04 00:20:43,498 [INFO] Iter=420, size=128, max=43.6031, avg=27.1126, min=11.7101, std=7.6652
Trainer: 2026-05-04 00:20:51,790 [INFO] Iter=430, size=128, max=44.2752, avg=22.0791, min=11.3913, std=7.8136
Trainer: 2026-05-04 00:20:59,184 [INFO] Iter=440, size=128, max=20.6382, avg=12.1661, min=7.8169, std=2.5745
Trainer: 2026-05-04 00:21:07,588 [INFO] Iter=450, size=128, max=40.0937, avg=21.8353, min=7.5363, std=5.8846
Trainer: 2026-05-04 00:21:07,605 [INFO] [TEST] Iter=450, #tests=32, max=48.4115, avg=12.1857, min=-0.0187, std=12.3774
Trainer: 2026-05-04 00:21:15,665 [INFO] Iter=460, size=128, max=25.5940, avg=14.8274, min=8.0176, std=3.9584
Trainer: 2026-05-04 00:21:23,327 [INFO] Iter=470, size=128, max=38.2406, avg=22.3686, min=10.6943, std=5.3722
Trainer: 2026-05-04 00:21:32,494 [INFO] Iter=480, size=128, max=35.0762, avg=16.3490, min=8.6304, std=5.0571
Trainer: 2026-05-04 00:21:40,262 [INFO] Iter=490, size=128, max=37.4781, avg=17.3473, min=8.6950, std=5.5562
Trainer: 2026-05-04 00:21:48,651 [INFO] Iter=500, size=128, max=36.7202, avg=17.1012, min=8.7348, std=5.7211
Trainer: 2026-05-04 00:21:48,663 [INFO] [TEST] Iter=500, #tests=32, max=302.9674, avg=28.7512, min=-0.0097, std=57.8270
Trainer: 2026-05-04 00:21:56,833 [INFO] Iter=510, size=128, max=35.9169, avg=18.7555, min=9.5073, std=6.0783
Trainer: 2026-05-04 00:22:06,984 [INFO] Iter=520, size=128, max=48.6519, avg=28.0440, min=11.4083, std=8.3360
Trainer: 2026-05-04 00:22:16,991 [INFO] Iter=530, size=128, max=30.1816, avg=17.4330, min=11.2979, std=3.6911
Trainer: 2026-05-04 00:22:26,081 [INFO] Iter=540, size=128, max=52.1976, avg=21.0958, min=11.0199, std=7.2170
Trainer: 2026-05-04 00:22:34,510 [INFO] Iter=550, size=128, max=22.9735, avg=13.6497, min=9.8267, std=2.8552
Trainer: 2026-05-04 00:22:34,532 [INFO] [TEST] Iter=550, #tests=32, max=78.1536, avg=13.7676, min=-0.0003, std=17.3142
Trainer: 2026-05-04 00:22:43,077 [INFO] Iter=560, size=128, max=22.4287, avg=10.8048, min=6.6864, std=3.7483
Trainer: 2026-05-04 00:22:53,276 [INFO] Iter=570, size=128, max=28.2371, avg=13.8617, min=5.4624, std=4.5937
Trainer: 2026-05-04 00:23:03,145 [INFO] Iter=580, size=128, max=32.2240, avg=13.2806, min=6.9382, std=5.2612
Trainer: 2026-05-04 00:23:14,292 [INFO] Iter=590, size=128, max=25.7187, avg=12.5929, min=7.0708, std=3.4036
Trainer: 2026-05-04 00:23:23,873 [INFO] Iter=600, size=128, max=37.0422, avg=17.2729, min=8.4211, std=5.7520
Trainer: 2026-05-04 00:23:23,889 [INFO] [TEST] Iter=600, #tests=32, max=351.7504, avg=23.1382, min=-0.0006, std=62.0939
Trainer: 2026-05-04 00:23:35,086 [INFO] Iter=610, size=128, max=40.9821, avg=18.7401, min=8.6043, std=8.4216
Trainer: 2026-05-04 00:23:45,895 [INFO] Iter=620, size=128, max=73.1234, avg=24.3218, min=11.5755, std=8.2256
Trainer: 2026-05-04 00:23:56,245 [INFO] Iter=630, size=128, max=47.4960, avg=20.7658, min=11.0415, std=6.0798
Trainer: 2026-05-04 00:24:08,193 [INFO] Iter=640, size=128, max=48.7811, avg=21.3067, min=11.4099, std=6.9223
Trainer: 2026-05-04 00:24:17,748 [INFO] Iter=650, size=128, max=30.7157, avg=14.3066, min=5.6457, std=5.6843
Trainer: 2026-05-04 00:24:17,768 [INFO] [TEST] Iter=650, #tests=32, max=433.1399, avg=26.3193, min=0.0858, std=74.1732
Trainer: 2026-05-04 00:24:26,749 [INFO] Iter=660, size=128, max=34.4291, avg=15.1804, min=6.3537, std=5.7105
Trainer: 2026-05-04 00:24:35,261 [INFO] Iter=670, size=128, max=30.1648, avg=17.4246, min=9.4591, std=4.1669
Trainer: 2026-05-04 00:24:43,710 [INFO] Iter=680, size=128, max=47.0646, avg=30.3628, min=15.2439, std=7.2764
Trainer: 2026-05-04 00:24:52,318 [INFO] Iter=690, size=128, max=18.6249, avg=8.1166, min=4.3613, std=2.5893
Trainer: 2026-05-04 00:25:01,005 [INFO] Iter=700, size=128, max=41.6311, avg=14.5831, min=7.2184, std=5.3511
Trainer: 2026-05-04 00:25:01,025 [INFO] [TEST] Iter=700, #tests=32, max=413.2324, avg=30.2082, min=0.0226, std=74.9258
Trainer: 2026-05-04 00:25:09,329 [INFO] Iter=710, size=128, max=38.6832, avg=20.2342, min=9.8163, std=7.6759
Trainer: 2026-05-04 00:25:17,804 [INFO] Iter=720, size=128, max=24.1301, avg=11.5198, min=6.8938, std=3.3979
Trainer: 2026-05-04 00:25:26,548 [INFO] Iter=730, size=128, max=30.4187, avg=18.7998, min=9.2125, std=4.1997
Trainer: 2026-05-04 00:25:35,546 [INFO] Iter=740, size=128, max=48.6368, avg=22.9019, min=11.1530, std=7.0473
Trainer: 2026-05-04 00:25:44,383 [INFO] Iter=750, size=128, max=34.4372, avg=18.2403, min=8.7477, std=6.3161
Trainer: 2026-05-04 00:25:44,410 [INFO] [TEST] Iter=750, #tests=32, max=216.4884, avg=22.3505, min=0.0178, std=47.8717
Trainer: 2026-05-04 00:25:52,358 [INFO] Iter=760, size=128, max=29.0101, avg=17.3699, min=8.5073, std=4.1900
Trainer: 2026-05-04 00:26:02,820 [INFO] Iter=770, size=128, max=36.6826, avg=20.4422, min=10.4071, std=6.6822
Trainer: 2026-05-04 00:26:12,003 [INFO] Iter=780, size=128, max=34.2690, avg=19.8156, min=10.7851, std=4.8200
Trainer: 2026-05-04 00:26:20,430 [INFO] Iter=790, size=128, max=22.9759, avg=12.0229, min=6.0337, std=3.5926
Trainer: 2026-05-04 00:26:28,822 [INFO] Iter=800, size=128, max=60.8948, avg=17.2588, min=9.2758, std=6.4831
Trainer: 2026-05-04 00:26:28,838 [INFO] [TEST] Iter=800, #tests=32, max=72.1474, avg=14.3929, min=0.0000, std=19.8861
Trainer: 2026-05-04 00:26:38,166 [INFO] Iter=810, size=128, max=43.0695, avg=25.9863, min=10.8636, std=6.0370
Trainer: 2026-05-04 00:26:47,032 [INFO] Iter=820, size=128, max=22.1344, avg=10.3079, min=5.5311, std=3.7558
Trainer: 2026-05-04 00:27:01,537 [INFO] Iter=830, size=128, max=50.3729, avg=28.3976, min=15.8863, std=7.3414
Trainer: 2026-05-04 00:27:10,440 [INFO] Iter=840, size=128, max=49.5969, avg=24.3834, min=9.0480, std=11.6425
Trainer: 2026-05-04 00:27:21,451 [INFO] Iter=850, size=128, max=36.3538, avg=21.0049, min=10.8055, std=6.6485
Trainer: 2026-05-04 00:27:21,470 [INFO] [TEST] Iter=850, #tests=32, max=324.9351, avg=28.5728, min=0.0170, std=60.4438
Trainer: 2026-05-04 00:27:31,057 [INFO] Iter=860, size=128, max=49.3995, avg=23.0802, min=9.7497, std=8.6186
Trainer: 2026-05-04 00:27:40,585 [INFO] Iter=870, size=128, max=46.0620, avg=28.3657, min=11.6404, std=7.5407
Trainer: 2026-05-04 00:27:50,642 [INFO] Iter=880, size=128, max=36.2990, avg=24.3844, min=9.7140, std=6.1841
Trainer: 2026-05-04 00:27:59,199 [INFO] Iter=890, size=128, max=47.8721, avg=21.8230, min=12.9567, std=7.6053
Trainer: 2026-05-04 00:28:07,983 [INFO] Iter=900, size=128, max=25.5772, avg=14.7549, min=11.4008, std=3.1259
Trainer: 2026-05-04 00:28:08,007 [INFO] [TEST] Iter=900, #tests=32, max=90.7081, avg=14.7907, min=-0.0011, std=20.8678
Trainer: 2026-05-04 00:28:17,676 [INFO] Iter=910, size=128, max=40.8917, avg=19.1896, min=10.3822, std=6.3731
Trainer: 2026-05-04 00:28:27,116 [INFO] Iter=920, size=128, max=40.3548, avg=21.6323, min=10.8306, std=6.3038
Trainer: 2026-05-04 00:28:35,726 [INFO] Iter=930, size=128, max=27.6045, avg=14.0748, min=7.6294, std=4.6975
Trainer: 2026-05-04 00:28:44,152 [INFO] Iter=940, size=128, max=32.1684, avg=16.1463, min=7.7218, std=5.7112
Trainer: 2026-05-04 00:28:52,798 [INFO] Iter=950, size=128, max=21.1278, avg=11.0569, min=6.2288, std=3.6963
Trainer: 2026-05-04 00:28:52,813 [INFO] [TEST] Iter=950, #tests=32, max=329.6031, avg=23.9249, min=-0.0028, std=58.3083
Trainer: 2026-05-04 00:29:01,214 [INFO] Iter=960, size=128, max=41.4127, avg=20.9688, min=10.8921, std=5.9089
Trainer: 2026-05-04 00:29:09,507 [INFO] Iter=970, size=128, max=62.1555, avg=33.3080, min=15.8260, std=9.1408
Trainer: 2026-05-04 00:29:17,733 [INFO] Iter=980, size=128, max=39.2169, avg=14.9918, min=4.6536, std=5.7109
Trainer: 2026-05-04 00:29:25,405 [INFO] Iter=990, size=128, max=36.1850, avg=21.7618, min=12.3890, std=5.4021
Trainer: 2026-05-04 00:29:33,162 [INFO] Iter=1000, size=128, max=49.9985, avg=21.5560, min=7.2346, std=7.5271
Trainer: 2026-05-04 00:29:33,234 [INFO] [TEST] Iter=1000, #tests=32, max=414.7204, avg=29.6754, min=-0.0044, std=72.6604
Trainer: 2026-05-04 00:29:41,434 [INFO] Iter=1010, size=128, max=41.6926, avg=18.7016, min=8.7081, std=7.9613
Trainer: 2026-05-04 00:29:49,962 [INFO] Iter=1020, size=128, max=45.9850, avg=23.5075, min=7.9102, std=7.0195
Trainer: 2026-05-04 00:30:01,293 [INFO] Iter=1030, size=128, max=95.6617, avg=43.0302, min=10.7328, std=15.1541
Trainer: 2026-05-04 00:30:09,236 [INFO] Iter=1040, size=128, max=62.7899, avg=31.0795, min=9.8766, std=10.4706
Trainer: 2026-05-04 00:30:17,161 [INFO] Iter=1050, size=128, max=39.7337, avg=20.3782, min=9.0590, std=5.3961
Trainer: 2026-05-04 00:30:17,178 [INFO] [TEST] Iter=1050, #tests=32, max=129.5239, avg=26.0265, min=0.1732, std=38.9873
Trainer: 2026-05-04 00:30:25,461 [INFO] Iter=1060, size=128, max=63.9829, avg=30.2722, min=10.2693, std=10.8726
Trainer: 2026-05-04 00:30:34,380 [INFO] Iter=1070, size=128, max=49.7492, avg=26.6868, min=12.4836, std=7.2873
Trainer: 2026-05-04 00:30:43,059 [INFO] Iter=1080, size=128, max=42.8607, avg=22.8350, min=11.7374, std=7.7782
Trainer: 2026-05-04 00:30:52,650 [INFO] Iter=1090, size=128, max=44.5973, avg=23.2208, min=10.5507, std=7.4248
