Trainer: 2026-04-16 12:26:25,617 [INFO] use_for_loop=False
Trainer: 2026-04-16 12:26:25,957 [INFO] Start to train for 3000 iterations.
Trainer: 2026-04-16 12:28:56,049 [INFO] [TEST] Iter=400, #tests=32, max=494.2047, avg=169.1579, min=0.1777, std=188.8493
Trainer: 2026-04-16 12:28:59,713 [INFO] Iter=410, size=128, max=206.5135, avg=168.0418, min=11.8957, std=43.7856
Trainer: 2026-04-16 12:29:03,448 [INFO] Iter=420, size=128, max=129.4012, avg=109.7684, min=9.5802, std=23.9678
Trainer: 2026-04-16 12:29:07,115 [INFO] Iter=430, size=128, max=144.7979, avg=125.2078, min=10.1975, std=26.2415
Trainer: 2026-04-16 12:29:10,937 [INFO] Iter=440, size=128, max=145.7121, avg=110.7463, min=8.1581, std=26.8091
Trainer: 2026-04-16 12:29:14,686 [INFO] Iter=450, size=128, max=140.2820, avg=93.5048, min=7.5848, std=34.5378
Trainer: 2026-04-16 12:29:14,709 [INFO] [TEST] Iter=450, #tests=32, max=469.9330, avg=139.2637, min=-0.0185, std=179.2417
Trainer: 2026-04-16 12:29:18,692 [INFO] Iter=460, size=128, max=119.2899, avg=99.4270, min=10.0999, std=22.2326
Trainer: 2026-04-16 12:29:22,384 [INFO] Iter=470, size=128, max=211.3911, avg=169.5828, min=12.7435, std=53.2923
Trainer: 2026-04-16 12:29:26,143 [INFO] Iter=480, size=128, max=146.9366, avg=113.7101, min=10.4841, std=32.9585
Trainer: 2026-04-16 12:29:29,975 [INFO] Iter=490, size=128, max=128.7041, avg=99.3014, min=5.4330, std=25.6578
Trainer: 2026-04-16 12:29:33,539 [INFO] Iter=500, size=128, max=208.9594, avg=166.0437, min=5.5692, std=47.9275
Trainer: 2026-04-16 12:29:33,556 [INFO] [TEST] Iter=500, #tests=32, max=495.8296, avg=202.5773, min=-0.0096, std=199.5872
Trainer: 2026-04-16 12:29:37,303 [INFO] Iter=510, size=128, max=189.8861, avg=152.5790, min=11.3782, std=27.6678
Trainer: 2026-04-16 12:29:41,201 [INFO] Iter=520, size=128, max=153.9726, avg=125.2510, min=4.7335, std=39.9032
Trainer: 2026-04-16 12:29:45,009 [INFO] Iter=530, size=128, max=192.1239, avg=160.1765, min=13.8638, std=35.3629
Trainer: 2026-04-16 12:29:48,967 [INFO] Iter=540, size=128, max=113.7004, avg=88.9158, min=10.5914, std=22.7097
Trainer: 2026-04-16 12:29:52,418 [INFO] Iter=550, size=128, max=183.2986, avg=138.3471, min=9.0368, std=34.9334
Trainer: 2026-04-16 12:29:52,442 [INFO] [TEST] Iter=550, #tests=32, max=489.5701, avg=148.8300, min=-0.0003, std=187.3598
Trainer: 2026-04-16 12:29:56,078 [INFO] Iter=560, size=128, max=129.1669, avg=95.7224, min=8.7352, std=29.8559
Trainer: 2026-04-16 12:29:59,672 [INFO] Iter=570, size=128, max=132.2139, avg=109.8034, min=4.8409, std=32.4563
Trainer: 2026-04-16 12:30:03,308 [INFO] Iter=580, size=128, max=141.9486, avg=108.3407, min=5.6602, std=27.8302
Trainer: 2026-04-16 12:30:06,849 [INFO] Iter=590, size=128, max=175.5006, avg=145.8493, min=9.5714, std=36.8300
Trainer: 2026-04-16 12:30:10,523 [INFO] Iter=600, size=128, max=128.5348, avg=101.3348, min=5.0846, std=21.4817
Trainer: 2026-04-16 12:30:10,536 [INFO] [TEST] Iter=600, #tests=32, max=504.9856, avg=132.6017, min=-0.0006, std=187.5740
Trainer: 2026-04-16 12:30:14,160 [INFO] Iter=610, size=128, max=118.8092, avg=96.2229, min=9.0128, std=19.7188
Trainer: 2026-04-16 12:30:17,693 [INFO] Iter=620, size=128, max=199.7806, avg=148.9712, min=6.0594, std=47.9473
Trainer: 2026-04-16 12:30:21,402 [INFO] Iter=630, size=128, max=124.0091, avg=100.9483, min=14.2197, std=24.1430
Trainer: 2026-04-16 12:30:24,986 [INFO] Iter=640, size=128, max=193.6457, avg=163.9268, min=11.2919, std=30.6691
Trainer: 2026-04-16 12:30:28,669 [INFO] Iter=650, size=128, max=106.9592, avg=84.1998, min=5.4392, std=26.8201
Trainer: 2026-04-16 12:30:28,689 [INFO] [TEST] Iter=650, #tests=32, max=441.5829, avg=120.1111, min=0.0942, std=172.6298
Trainer: 2026-04-16 12:30:32,445 [INFO] Iter=660, size=128, max=231.9322, avg=193.2903, min=5.2866, std=61.3652
Trainer: 2026-04-16 12:30:36,165 [INFO] Iter=670, size=128, max=217.8951, avg=177.6149, min=4.8839, std=42.4700
Trainer: 2026-04-16 12:30:40,166 [INFO] Iter=680, size=128, max=233.5283, avg=200.7739, min=5.2772, std=54.8491
Trainer: 2026-04-16 12:30:44,004 [INFO] Iter=690, size=128, max=84.7510, avg=66.2853, min=4.0973, std=17.7951
Trainer: 2026-04-16 12:30:48,187 [INFO] Iter=700, size=128, max=151.2460, avg=125.9191, min=3.8334, std=34.6355
Trainer: 2026-04-16 12:30:48,244 [INFO] [TEST] Iter=700, #tests=32, max=476.9540, avg=129.0051, min=0.0266, std=182.4176
Trainer: 2026-04-16 12:30:52,111 [INFO] Iter=710, size=128, max=129.4904, avg=91.0410, min=50.4789, std=10.3660
Trainer: 2026-04-16 12:30:55,715 [INFO] Iter=720, size=128, max=109.3450, avg=75.1787, min=5.5973, std=19.2700
Trainer: 2026-04-16 12:30:59,354 [INFO] Iter=730, size=128, max=158.1928, avg=127.1887, min=8.8855, std=30.9727
Trainer: 2026-04-16 12:31:02,951 [INFO] Iter=740, size=128, max=197.1742, avg=158.8428, min=8.6133, std=48.6315
Trainer: 2026-04-16 12:31:06,673 [INFO] Iter=750, size=128, max=133.4216, avg=116.4297, min=8.2235, std=23.7940
Trainer: 2026-04-16 12:31:06,689 [INFO] [TEST] Iter=750, #tests=32, max=480.7117, avg=161.7278, min=0.0426, std=183.6286
Trainer: 2026-04-16 12:31:10,258 [INFO] Iter=760, size=128, max=108.7606, avg=78.4384, min=6.3761, std=25.0419
Trainer: 2026-04-16 12:31:14,046 [INFO] Iter=770, size=128, max=131.2211, avg=98.7015, min=8.3989, std=23.0424
Trainer: 2026-04-16 12:31:17,708 [INFO] Iter=780, size=128, max=151.9198, avg=130.7559, min=15.7221, std=20.8497
Trainer: 2026-04-16 12:31:21,429 [INFO] Iter=790, size=128, max=102.6683, avg=85.7550, min=5.7167, std=18.8286
Trainer: 2026-04-16 12:31:25,047 [INFO] Iter=800, size=128, max=144.6475, avg=117.7255, min=6.3532, std=37.7907
Trainer: 2026-04-16 12:31:25,068 [INFO] [TEST] Iter=800, #tests=32, max=489.9007, avg=151.6610, min=0.0000, std=184.0898
Trainer: 2026-04-16 12:31:28,669 [INFO] Iter=810, size=128, max=178.2693, avg=146.4628, min=7.9883, std=27.7802
Trainer: 2026-04-16 12:31:32,307 [INFO] Iter=820, size=128, max=169.3005, avg=136.4675, min=5.9922, std=32.9673
Trainer: 2026-04-16 12:31:35,877 [INFO] Iter=830, size=128, max=255.2649, avg=205.8107, min=7.1217, std=61.3559
Trainer: 2026-04-16 12:31:39,576 [INFO] Iter=840, size=128, max=213.9658, avg=186.7296, min=151.7035, std=11.8915
Trainer: 2026-04-16 12:31:43,258 [INFO] Iter=850, size=128, max=210.8458, avg=182.0101, min=7.3626, std=33.4254
Trainer: 2026-04-16 12:31:43,282 [INFO] [TEST] Iter=850, #tests=32, max=473.2177, avg=138.8009, min=0.0131, std=181.5770
Trainer: 2026-04-16 12:31:47,139 [INFO] Iter=860, size=128, max=154.7028, avg=125.5708, min=6.8919, std=32.1131
Trainer: 2026-04-16 12:31:50,904 [INFO] Iter=870, size=128, max=173.9083, avg=150.6589, min=6.2089, std=33.9008
Trainer: 2026-04-16 12:31:54,732 [INFO] Iter=880, size=128, max=117.8786, avg=82.1149, min=10.2849, std=20.7192
Trainer: 2026-04-16 12:31:58,438 [INFO] Iter=890, size=128, max=138.0869, avg=121.1644, min=9.9161, std=20.2944
Trainer: 2026-04-16 12:32:02,056 [INFO] Iter=900, size=128, max=170.4698, avg=135.8523, min=10.0601, std=37.7527
Trainer: 2026-04-16 12:32:02,069 [INFO] [TEST] Iter=900, #tests=32, max=497.8695, avg=176.6240, min=-0.0008, std=197.9099
Trainer: 2026-04-16 12:32:05,765 [INFO] Iter=910, size=128, max=203.0145, avg=175.8657, min=8.7034, std=39.7821
Trainer: 2026-04-16 12:32:09,572 [INFO] Iter=920, size=128, max=186.6943, avg=158.7169, min=6.6508, std=43.4928
Trainer: 2026-04-16 12:32:13,632 [INFO] Iter=930, size=128, max=152.8227, avg=120.8873, min=9.9846, std=31.1024
Trainer: 2026-04-16 12:32:17,373 [INFO] Iter=940, size=128, max=192.6786, avg=167.1936, min=9.8485, std=40.3405
Trainer: 2026-04-16 12:32:21,167 [INFO] Iter=950, size=128, max=198.9856, avg=169.0348, min=7.7025, std=39.8380
Trainer: 2026-04-16 12:32:21,191 [INFO] [TEST] Iter=950, #tests=32, max=500.9434, avg=141.0780, min=-0.0028, std=185.8765
Trainer: 2026-04-16 12:32:25,061 [INFO] Iter=960, size=128, max=219.7881, avg=192.1088, min=7.4446, std=41.9759
Trainer: 2026-04-16 12:32:28,875 [INFO] Iter=970, size=128, max=308.1693, avg=231.9959, min=8.5184, std=70.2648
Trainer: 2026-04-16 12:32:32,770 [INFO] Iter=980, size=128, max=176.4532, avg=150.4271, min=2.2951, std=45.7464
Trainer: 2026-04-16 12:32:36,707 [INFO] Iter=990, size=128, max=275.1888, avg=228.8566, min=5.1684, std=70.8303
Trainer: 2026-04-16 12:32:40,643 [INFO] Iter=1000, size=128, max=183.8749, avg=157.6800, min=9.6959, std=42.2417
Trainer: 2026-04-16 12:32:40,657 [INFO] [TEST] Iter=1000, #tests=32, max=486.6406, avg=147.3075, min=-0.0044, std=196.2148
Trainer: 2026-04-16 12:32:44,430 [INFO] Iter=1010, size=128, max=166.2025, avg=130.0586, min=6.8437, std=39.7632
Trainer: 2026-04-16 12:32:48,340 [INFO] Iter=1020, size=128, max=188.5040, avg=163.8557, min=5.3109, std=38.5248
Trainer: 2026-04-16 12:32:52,033 [INFO] Iter=1030, size=128, max=213.0449, avg=179.8448, min=12.8406, std=39.5020
Trainer: 2026-04-16 12:32:55,803 [INFO] Iter=1040, size=128, max=184.4149, avg=160.4312, min=5.9211, std=34.6964
Trainer: 2026-04-16 12:32:59,498 [INFO] Iter=1050, size=128, max=65.9267, avg=55.6487, min=4.6384, std=10.8453
Trainer: 2026-04-16 12:32:59,518 [INFO] [TEST] Iter=1050, #tests=32, max=501.4896, avg=222.0066, min=0.1732, std=190.0820
Trainer: 2026-04-16 12:33:03,217 [INFO] Iter=1060, size=128, max=183.2313, avg=146.3620, min=8.8737, std=39.7999
Trainer: 2026-04-16 12:33:06,867 [INFO] Iter=1070, size=128, max=216.0910, avg=183.9945, min=13.0402, std=46.3623
Trainer: 2026-04-16 12:33:10,413 [INFO] Iter=1080, size=128, max=142.4788, avg=126.1611, min=8.4770, std=18.8755
Trainer: 2026-04-16 12:33:14,261 [INFO] Iter=1090, size=128, max=259.6555, avg=203.9946, min=9.2302, std=58.2056
Trainer: 2026-04-16 12:33:17,997 [INFO] Iter=1100, size=128, max=178.2719, avg=126.5888, min=6.7351, std=42.8767
Trainer: 2026-04-16 12:33:18,018 [INFO] [TEST] Iter=1100, #tests=32, max=478.2949, avg=174.8740, min=0.3142, std=191.4382
Trainer: 2026-04-16 12:33:21,896 [INFO] Iter=1110, size=128, max=204.4059, avg=164.3481, min=14.2720, std=40.7993
Trainer: 2026-04-16 12:33:25,594 [INFO] Iter=1120, size=128, max=209.7103, avg=169.1620, min=10.7504, std=48.0955
Trainer: 2026-04-16 12:33:29,343 [INFO] Iter=1130, size=128, max=208.9676, avg=159.7090, min=7.5392, std=38.6230
Trainer: 2026-04-16 12:33:33,136 [INFO] Iter=1140, size=128, max=145.5462, avg=118.6473, min=8.8496, std=32.2613
Trainer: 2026-04-16 12:33:37,029 [INFO] Iter=1150, size=128, max=116.0725, avg=103.4592, min=10.7991, std=15.8305
Trainer: 2026-04-16 12:33:37,051 [INFO] [TEST] Iter=1150, #tests=32, max=473.0847, avg=176.1811, min=-0.0001, std=195.4786
Trainer: 2026-04-16 12:33:40,821 [INFO] Iter=1160, size=128, max=168.7568, avg=129.3536, min=13.2533, std=34.1898
Trainer: 2026-04-16 12:33:44,522 [INFO] Iter=1170, size=128, max=86.0476, avg=66.5850, min=6.1423, std=17.2798
Trainer: 2026-04-16 12:33:48,378 [INFO] Iter=1180, size=128, max=192.4866, avg=147.6752, min=7.8422, std=40.5810
Trainer: 2026-04-16 12:33:52,160 [INFO] Iter=1190, size=128, max=251.2059, avg=218.5857, min=9.0842, std=48.4695
Trainer: 2026-04-16 12:33:55,848 [INFO] Iter=1200, size=128, max=272.1473, avg=212.7950, min=8.1165, std=62.9160
