Trainer: 2026-05-03 23:19:06,230 [INFO] use_for_loop=False
Trainer: 2026-05-03 23:19:06,243 [INFO] Start to train for 3000 iterations.
Trainer: 2026-05-03 23:21:15,910 [INFO] [TEST] Iter=400, #tests=32, max=476.3549, avg=180.6640, min=0.1924, std=189.1011
Trainer: 2026-05-03 23:21:18,766 [INFO] Iter=410, size=128, max=235.2461, avg=213.9055, min=174.8544, std=11.3427
Trainer: 2026-05-03 23:21:24,155 [INFO] Iter=420, size=128, max=172.5742, avg=138.3928, min=104.7752, std=10.0209
Trainer: 2026-05-03 23:21:28,532 [INFO] Iter=430, size=128, max=146.6538, avg=131.9562, min=116.2642, std=5.7436
Trainer: 2026-05-03 23:21:31,403 [INFO] Iter=440, size=128, max=161.7943, avg=146.8390, min=119.8431, std=7.4913
Trainer: 2026-05-03 23:21:34,607 [INFO] Iter=450, size=128, max=147.9153, avg=123.7724, min=80.3885, std=14.9213
Trainer: 2026-05-03 23:21:34,626 [INFO] [TEST] Iter=450, #tests=32, max=460.2310, avg=142.4185, min=-0.0184, std=181.8381
Trainer: 2026-05-03 23:21:37,824 [INFO] Iter=460, size=128, max=146.3435, avg=122.0373, min=105.1295, std=6.3831
Trainer: 2026-05-03 23:21:40,757 [INFO] Iter=470, size=128, max=215.0304, avg=194.2763, min=179.4321, std=6.9045
Trainer: 2026-05-03 23:21:43,924 [INFO] Iter=480, size=128, max=160.0525, avg=136.8791, min=101.7392, std=10.8531
Trainer: 2026-05-03 23:21:48,208 [INFO] Iter=490, size=128, max=147.4461, avg=132.7017, min=116.1606, std=5.9527
Trainer: 2026-05-03 23:21:51,397 [INFO] Iter=500, size=128, max=222.3038, avg=196.2774, min=174.7999, std=10.3759
Trainer: 2026-05-03 23:21:51,415 [INFO] [TEST] Iter=500, #tests=32, max=457.7279, avg=205.4686, min=-0.0095, std=192.1521
Trainer: 2026-05-03 23:21:54,432 [INFO] Iter=510, size=128, max=186.9137, avg=169.4534, min=144.2526, std=7.7422
Trainer: 2026-05-03 23:21:57,597 [INFO] Iter=520, size=128, max=209.9220, avg=185.6875, min=161.4188, std=7.9004
Trainer: 2026-05-03 23:22:00,666 [INFO] Iter=530, size=128, max=215.3529, avg=187.2621, min=159.9553, std=11.5624
Trainer: 2026-05-03 23:22:03,997 [INFO] Iter=540, size=128, max=176.7893, avg=159.5183, min=138.9889, std=8.8113
Trainer: 2026-05-03 23:22:07,752 [INFO] Iter=550, size=128, max=214.2021, avg=179.7558, min=158.3734, std=9.9438
Trainer: 2026-05-03 23:22:07,768 [INFO] [TEST] Iter=550, #tests=32, max=492.9625, avg=179.6495, min=-0.0003, std=194.2359
Trainer: 2026-05-03 23:22:10,859 [INFO] Iter=560, size=128, max=154.5254, avg=136.5221, min=105.2227, std=7.4375
Trainer: 2026-05-03 23:22:13,910 [INFO] Iter=570, size=128, max=151.5238, avg=130.4295, min=97.4919, std=12.5678
Trainer: 2026-05-03 23:22:16,973 [INFO] Iter=580, size=128, max=149.8033, avg=133.0749, min=97.6351, std=8.2680
Trainer: 2026-05-03 23:22:19,964 [INFO] Iter=590, size=128, max=214.1076, avg=198.4944, min=165.8279, std=7.5008
Trainer: 2026-05-03 23:22:23,215 [INFO] Iter=600, size=128, max=142.6764, avg=116.8365, min=87.3074, std=10.6242
Trainer: 2026-05-03 23:22:23,239 [INFO] [TEST] Iter=600, #tests=32, max=505.1433, avg=170.5717, min=-0.0006, std=198.9408
Trainer: 2026-05-03 23:22:26,578 [INFO] Iter=610, size=128, max=115.6609, avg=105.1086, min=90.4429, std=4.8063
Trainer: 2026-05-03 23:22:31,692 [INFO] Iter=620, size=128, max=194.6610, avg=178.9760, min=149.7653, std=8.8082
Trainer: 2026-05-03 23:22:35,285 [INFO] Iter=630, size=128, max=159.8645, avg=147.6599, min=113.3129, std=8.7191
Trainer: 2026-05-03 23:22:38,617 [INFO] Iter=640, size=128, max=213.3182, avg=194.6083, min=168.0967, std=7.3677
Trainer: 2026-05-03 23:22:42,058 [INFO] Iter=650, size=128, max=109.8521, avg=95.2247, min=76.2467, std=6.5258
Trainer: 2026-05-03 23:22:42,079 [INFO] [TEST] Iter=650, #tests=32, max=457.1261, avg=143.7600, min=0.0959, std=187.0953
Trainer: 2026-05-03 23:22:45,040 [INFO] Iter=660, size=128, max=246.6736, avg=226.4266, min=195.8557, std=7.9828
Trainer: 2026-05-03 23:22:48,035 [INFO] Iter=670, size=128, max=251.2972, avg=234.9193, min=203.7504, std=8.3040
Trainer: 2026-05-03 23:22:51,034 [INFO] Iter=680, size=128, max=254.4110, avg=240.1179, min=204.1010, std=8.0191
Trainer: 2026-05-03 23:22:54,143 [INFO] Iter=690, size=128, max=126.1376, avg=102.6671, min=57.5753, std=9.9046
Trainer: 2026-05-03 23:22:59,434 [INFO] Iter=700, size=128, max=198.9357, avg=175.3991, min=146.7326, std=7.6351
Trainer: 2026-05-03 23:22:59,458 [INFO] [TEST] Iter=700, #tests=32, max=423.0108, avg=127.2917, min=0.0272, std=163.5013
Trainer: 2026-05-03 23:23:06,138 [INFO] Iter=710, size=128, max=127.8719, avg=109.0869, min=88.7077, std=6.4105
Trainer: 2026-05-03 23:23:10,003 [INFO] Iter=720, size=128, max=138.6770, avg=124.7930, min=103.7990, std=7.3358
Trainer: 2026-05-03 23:23:13,266 [INFO] Iter=730, size=128, max=176.8590, avg=152.7446, min=130.3613, std=9.3782
Trainer: 2026-05-03 23:23:16,356 [INFO] Iter=740, size=128, max=215.5173, avg=199.7789, min=179.0234, std=6.3600
Trainer: 2026-05-03 23:23:19,557 [INFO] Iter=750, size=128, max=142.3486, avg=128.1660, min=114.0712, std=5.2767
Trainer: 2026-05-03 23:23:19,606 [INFO] [TEST] Iter=750, #tests=32, max=515.6045, avg=142.7978, min=0.0508, std=178.2832
Trainer: 2026-05-03 23:23:23,216 [INFO] Iter=760, size=128, max=129.9521, avg=102.5408, min=61.4789, std=12.6124
Trainer: 2026-05-03 23:23:26,789 [INFO] Iter=770, size=128, max=136.6426, avg=107.9955, min=94.9280, std=7.0142
Trainer: 2026-05-03 23:23:30,154 [INFO] Iter=780, size=128, max=189.4541, avg=154.7681, min=118.0401, std=17.4786
Trainer: 2026-05-03 23:23:34,164 [INFO] Iter=790, size=128, max=146.5777, avg=110.6094, min=79.2422, std=15.3227
Trainer: 2026-05-03 23:23:38,078 [INFO] Iter=800, size=128, max=179.9030, avg=167.1844, min=141.4407, std=7.2902
Trainer: 2026-05-03 23:23:38,097 [INFO] [TEST] Iter=800, #tests=32, max=469.6854, avg=183.4662, min=0.0001, std=186.8209
Trainer: 2026-05-03 23:23:41,985 [INFO] Iter=810, size=128, max=216.1516, avg=188.5224, min=156.7748, std=11.2654
Trainer: 2026-05-03 23:23:45,903 [INFO] Iter=820, size=128, max=193.7885, avg=173.2388, min=136.6880, std=11.5743
Trainer: 2026-05-03 23:23:49,548 [INFO] Iter=830, size=128, max=276.7379, avg=255.3235, min=240.2646, std=7.1390
Trainer: 2026-05-03 23:23:53,536 [INFO] Iter=840, size=128, max=250.8853, avg=230.4872, min=199.2423, std=9.9944
Trainer: 2026-05-03 23:23:56,514 [INFO] Iter=850, size=128, max=221.2200, avg=204.2989, min=180.3462, std=6.6670
Trainer: 2026-05-03 23:23:56,553 [INFO] [TEST] Iter=850, #tests=32, max=478.1765, avg=133.9693, min=0.0187, std=175.8271
