DeceptiveMaze: 2026-05-04 02:30:21,599 [INFO] Iter=250, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=845, novelty_avg=3.90
DeceptiveMaze: 2026-05-04 02:30:21,763 [INFO] Iter=260, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=847, novelty_avg=3.92
DeceptiveMaze: 2026-05-04 02:30:21,766 [INFO] [TEST] Iter=260, #tests=32, raw_max=100.000, raw_avg=100.000, success_rate=1.000
DeceptiveMaze: 2026-05-04 02:30:21,907 [INFO] Iter=270, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=848, novelty_avg=4.05
DeceptiveMaze: 2026-05-04 02:30:22,051 [INFO] Iter=280, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=850, novelty_avg=3.90
DeceptiveMaze: 2026-05-04 02:30:22,054 [INFO] [TEST] Iter=280, #tests=32, raw_max=100.000, raw_avg=100.000, success_rate=1.000
DeceptiveMaze: 2026-05-04 02:30:22,219 [INFO] Iter=290, raw_max=33.333, raw_avg=0.521, raw_min=0.000, arch=851, novelty_avg=3.95
DeceptiveMaze: 2026-05-04 02:30:22,362 [INFO] Iter=300, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=851, novelty_avg=4.42
DeceptiveMaze: 2026-05-04 02:30:22,365 [INFO] [TEST] Iter=300, #tests=32, raw_max=100.000, raw_avg=100.000, success_rate=1.000
DeceptiveMaze: 2026-05-04 02:30:22,508 [INFO] Iter=310, raw_max=100.000, raw_avg=6.771, raw_min=0.000, arch=852, novelty_avg=4.19
DeceptiveMaze: 2026-05-04 02:30:22,658 [INFO] Iter=320, raw_max=100.000, raw_avg=5.729, raw_min=0.000, arch=856, novelty_avg=4.79
DeceptiveMaze: 2026-05-04 02:30:22,660 [INFO] [TEST] Iter=320, #tests=32, raw_max=100.000, raw_avg=100.000, success_rate=1.000
DeceptiveMaze: 2026-05-04 02:30:22,831 [INFO] Iter=330, raw_max=33.333, raw_avg=2.083, raw_min=0.000, arch=857, novelty_avg=4.25
DeceptiveMaze: 2026-05-04 02:30:22,982 [INFO] Iter=340, raw_max=66.667, raw_avg=2.604, raw_min=0.000, arch=857, novelty_avg=4.93
DeceptiveMaze: 2026-05-04 02:30:22,985 [INFO] [TEST] Iter=340, #tests=32, raw_max=100.000, raw_avg=100.000, success_rate=1.000
DeceptiveMaze: 2026-05-04 02:30:23,138 [INFO] Iter=350, raw_max=66.667, raw_avg=2.083, raw_min=0.000, arch=859, novelty_avg=4.65
DeceptiveMaze: 2026-05-04 02:30:23,322 [INFO] Iter=360, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=859, novelty_avg=3.57
DeceptiveMaze: 2026-05-04 02:30:23,325 [INFO] [TEST] Iter=360, #tests=32, raw_max=100.000, raw_avg=100.000, success_rate=1.000
DeceptiveMaze: 2026-05-04 02:30:23,484 [INFO] Iter=370, raw_max=66.667, raw_avg=1.042, raw_min=0.000, arch=859, novelty_avg=3.92
DeceptiveMaze: 2026-05-04 02:30:23,684 [INFO] Iter=380, raw_max=100.000, raw_avg=2.604, raw_min=0.000, arch=861, novelty_avg=3.85
DeceptiveMaze: 2026-05-04 02:30:23,687 [INFO] [TEST] Iter=380, #tests=32, raw_max=100.000, raw_avg=100.000, success_rate=1.000
DeceptiveMaze: 2026-05-04 02:30:23,884 [INFO] Iter=390, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=861, novelty_avg=4.14
DeceptiveMaze: 2026-05-04 02:30:24,057 [INFO] Iter=400, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=862, novelty_avg=3.76
DeceptiveMaze: 2026-05-04 02:30:24,060 [INFO] [TEST] Iter=400, #tests=32, raw_max=100.000, raw_avg=100.000, success_rate=1.000
DeceptiveMaze: 2026-05-04 02:30:24,060 [INFO] Training done. best_raw_score=100.000
