Trainer: 2026-05-04 00:14:38,837 [INFO] use_for_loop=False
Trainer: 2026-05-04 00:14:38,852 [INFO] Start to train for 6000 iterations.
Trainer: 2026-05-04 00:19:08,214 [INFO] [TEST] Iter=400, #tests=32, max=192.2206, avg=25.6856, min=0.1924, std=38.6114
Trainer: 2026-05-04 00:19:15,099 [INFO] Iter=410, size=128, max=34.1811, avg=21.3048, min=13.7068, std=4.1099
Trainer: 2026-05-04 00:19:21,985 [INFO] Iter=420, size=128, max=26.4918, avg=19.0697, min=13.7185, std=2.7941
Trainer: 2026-05-04 00:19:28,163 [INFO] Iter=430, size=128, max=51.5501, avg=34.2095, min=21.4505, std=5.7698
Trainer: 2026-05-04 00:19:34,418 [INFO] Iter=440, size=128, max=24.0120, avg=17.1072, min=10.5711, std=2.5248
Trainer: 2026-05-04 00:19:40,257 [INFO] Iter=450, size=128, max=37.3898, avg=25.7837, min=20.5568, std=3.4076
Trainer: 2026-05-04 00:19:40,276 [INFO] [TEST] Iter=450, #tests=32, max=209.2275, avg=21.9058, min=-0.0184, std=39.3388
Trainer: 2026-05-04 00:19:49,644 [INFO] Iter=460, size=128, max=30.2126, avg=24.1196, min=15.2258, std=3.1212
Trainer: 2026-05-04 00:19:56,467 [INFO] Iter=470, size=128, max=41.4899, avg=22.3320, min=18.2054, std=3.8975
Trainer: 2026-05-04 00:20:04,676 [INFO] Iter=480, size=128, max=28.9550, avg=14.6417, min=10.0534, std=4.5914
Trainer: 2026-05-04 00:20:10,525 [INFO] Iter=490, size=128, max=30.2023, avg=15.2498, min=11.6759, std=3.7769
Trainer: 2026-05-04 00:20:17,090 [INFO] Iter=500, size=128, max=24.9198, avg=13.6113, min=10.3638, std=2.7791
Trainer: 2026-05-04 00:20:17,109 [INFO] [TEST] Iter=500, #tests=32, max=66.5189, avg=11.4124, min=-0.0100, std=15.9020
Trainer: 2026-05-04 00:20:23,150 [INFO] Iter=510, size=128, max=40.0289, avg=23.7421, min=15.3043, std=4.5716
Trainer: 2026-05-04 00:20:29,109 [INFO] Iter=520, size=128, max=23.8722, avg=15.8083, min=10.9984, std=2.9946
Trainer: 2026-05-04 00:20:34,862 [INFO] Iter=530, size=128, max=50.3539, avg=32.8442, min=21.1509, std=6.1281
Trainer: 2026-05-04 00:20:41,139 [INFO] Iter=540, size=128, max=26.1197, avg=19.5821, min=17.2376, std=2.1747
Trainer: 2026-05-04 00:20:47,311 [INFO] Iter=550, size=128, max=34.6325, avg=18.7744, min=13.9771, std=4.1358
Trainer: 2026-05-04 00:20:47,331 [INFO] [TEST] Iter=550, #tests=32, max=50.1813, avg=11.5732, min=-0.0003, std=12.4810
Trainer: 2026-05-04 00:20:53,188 [INFO] Iter=560, size=128, max=38.7731, avg=24.6034, min=12.4822, std=5.5769
Trainer: 2026-05-04 00:20:58,574 [INFO] Iter=570, size=128, max=33.3457, avg=16.5909, min=10.2873, std=3.2585
Trainer: 2026-05-04 00:21:04,681 [INFO] Iter=580, size=128, max=26.0573, avg=18.6949, min=13.3459, std=2.8567
Trainer: 2026-05-04 00:21:10,822 [INFO] Iter=590, size=128, max=36.4905, avg=21.0194, min=12.7930, std=4.0882
Trainer: 2026-05-04 00:21:16,769 [INFO] Iter=600, size=128, max=31.8005, avg=17.3844, min=13.4631, std=2.3141
Trainer: 2026-05-04 00:21:16,788 [INFO] [TEST] Iter=600, #tests=32, max=256.3546, avg=24.3190, min=-0.0006, std=46.5199
Trainer: 2026-05-04 00:21:22,152 [INFO] Iter=610, size=128, max=39.1986, avg=26.1667, min=17.3390, std=4.1405
Trainer: 2026-05-04 00:21:28,949 [INFO] Iter=620, size=128, max=25.8435, avg=16.2796, min=14.5191, std=2.4365
Trainer: 2026-05-04 00:21:34,822 [INFO] Iter=630, size=128, max=38.7930, avg=25.8278, min=19.3139, std=4.2458
Trainer: 2026-05-04 00:21:40,540 [INFO] Iter=640, size=128, max=31.8347, avg=18.4813, min=12.0135, std=3.8013
Trainer: 2026-05-04 00:21:45,916 [INFO] Iter=650, size=128, max=19.5360, avg=10.7436, min=6.3948, std=2.6854
Trainer: 2026-05-04 00:21:45,954 [INFO] [TEST] Iter=650, #tests=32, max=381.0309, avg=28.9482, min=0.0961, std=66.0786
Trainer: 2026-05-04 00:21:52,318 [INFO] Iter=660, size=128, max=33.8989, avg=19.6227, min=11.3178, std=4.0198
