DeceptiveMaze: 2026-05-04 02:20:51,718 [INFO] Iter=250, raw_max=100.000, raw_avg=1.562, raw_min=0.000, arch=857, novelty_avg=4.88
DeceptiveMaze: 2026-05-04 02:20:51,936 [INFO] Iter=260, raw_max=100.000, raw_avg=1.562, raw_min=0.000, arch=858, novelty_avg=4.89
DeceptiveMaze: 2026-05-04 02:20:51,939 [INFO] [TEST] Iter=260, #tests=32, raw_max=100.000, raw_avg=81.250, success_rate=0.812
DeceptiveMaze: 2026-05-04 02:20:52,181 [INFO] Iter=270, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=858, novelty_avg=4.80
DeceptiveMaze: 2026-05-04 02:20:52,400 [INFO] Iter=280, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=859, novelty_avg=4.91
DeceptiveMaze: 2026-05-04 02:20:52,403 [INFO] [TEST] Iter=280, #tests=32, raw_max=100.000, raw_avg=90.625, success_rate=0.906
DeceptiveMaze: 2026-05-04 02:20:52,648 [INFO] Iter=290, raw_max=100.000, raw_avg=3.125, raw_min=0.000, arch=859, novelty_avg=4.92
DeceptiveMaze: 2026-05-04 02:20:52,920 [INFO] Iter=300, raw_max=100.000, raw_avg=1.562, raw_min=0.000, arch=859, novelty_avg=5.00
DeceptiveMaze: 2026-05-04 02:20:52,923 [INFO] [TEST] Iter=300, #tests=32, raw_max=100.000, raw_avg=90.625, success_rate=0.906
DeceptiveMaze: 2026-05-04 02:20:53,170 [INFO] Iter=310, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=859, novelty_avg=4.91
DeceptiveMaze: 2026-05-04 02:20:53,419 [INFO] Iter=320, raw_max=100.000, raw_avg=2.604, raw_min=0.000, arch=861, novelty_avg=4.88
DeceptiveMaze: 2026-05-04 02:20:53,422 [INFO] [TEST] Iter=320, #tests=32, raw_max=100.000, raw_avg=93.750, success_rate=0.938
DeceptiveMaze: 2026-05-04 02:20:53,649 [INFO] Iter=330, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=861, novelty_avg=4.95
DeceptiveMaze: 2026-05-04 02:20:53,894 [INFO] Iter=340, raw_max=66.667, raw_avg=1.563, raw_min=0.000, arch=861, novelty_avg=5.08
DeceptiveMaze: 2026-05-04 02:20:53,897 [INFO] [TEST] Iter=340, #tests=32, raw_max=100.000, raw_avg=87.500, success_rate=0.875
DeceptiveMaze: 2026-05-04 02:20:54,125 [INFO] Iter=350, raw_max=100.000, raw_avg=1.562, raw_min=0.000, arch=861, novelty_avg=4.99
DeceptiveMaze: 2026-05-04 02:20:54,373 [INFO] Iter=360, raw_max=33.333, raw_avg=0.521, raw_min=0.000, arch=861, novelty_avg=4.99
DeceptiveMaze: 2026-05-04 02:20:54,376 [INFO] [TEST] Iter=360, #tests=32, raw_max=100.000, raw_avg=96.875, success_rate=0.969
DeceptiveMaze: 2026-05-04 02:20:54,631 [INFO] Iter=370, raw_max=66.667, raw_avg=1.042, raw_min=0.000, arch=861, novelty_avg=4.90
DeceptiveMaze: 2026-05-04 02:20:54,861 [INFO] Iter=380, raw_max=66.667, raw_avg=1.042, raw_min=0.000, arch=861, novelty_avg=5.01
DeceptiveMaze: 2026-05-04 02:20:54,864 [INFO] [TEST] Iter=380, #tests=32, raw_max=100.000, raw_avg=75.000, success_rate=0.750
DeceptiveMaze: 2026-05-04 02:20:55,120 [INFO] Iter=390, raw_max=100.000, raw_avg=1.562, raw_min=0.000, arch=862, novelty_avg=4.86
DeceptiveMaze: 2026-05-04 02:20:55,354 [INFO] Iter=400, raw_max=0.000, raw_avg=0.000, raw_min=0.000, arch=862, novelty_avg=4.52
DeceptiveMaze: 2026-05-04 02:20:55,357 [INFO] [TEST] Iter=400, #tests=32, raw_max=100.000, raw_avg=87.500, success_rate=0.875
DeceptiveMaze: 2026-05-04 02:20:55,360 [INFO] Training done. best_raw_score=100.000
