Trainer: 2026-04-16 04:05:44,354 [INFO] use_for_loop=False
Trainer: 2026-04-16 04:05:44,373 [INFO] Start to train for 1000 iterations.
Trainer: 2026-04-16 04:18:43,092 [INFO] Iter=390, size=128, max=-0.7500, avg=-4.7988, min=-12.1250, std=2.1492
Trainer: 2026-04-16 04:19:02,372 [INFO] Iter=400, size=128, max=-0.6250, avg=-4.3076, min=-13.6250, std=2.3310
Trainer: 2026-04-16 04:19:02,537 [INFO] [TEST] Iter=400, #tests=50, max=1.0000, avg=-1.8000, min=-5.0000, std=1.3115
Trainer: 2026-04-16 04:19:21,377 [INFO] Iter=410, size=128, max=-0.7500, avg=-3.9590, min=-12.6250, std=2.2336
Trainer: 2026-04-16 04:19:39,753 [INFO] Iter=420, size=128, max=-0.6250, avg=-3.6904, min=-14.1250, std=2.1353
Trainer: 2026-04-16 04:19:58,538 [INFO] Iter=430, size=128, max=-0.3750, avg=-3.4004, min=-11.7500, std=2.2039
Trainer: 2026-04-16 04:20:17,232 [INFO] Iter=440, size=128, max=-0.1250, avg=-2.9453, min=-16.8750, std=2.5152
Trainer: 2026-04-16 04:20:35,645 [INFO] Iter=450, size=128, max=0.3750, avg=-2.8105, min=-9.3750, std=2.0085
Trainer: 2026-04-16 04:20:35,800 [INFO] [TEST] Iter=450, #tests=50, max=2.0000, avg=-0.8600, min=-3.0000, std=1.1834
Trainer: 2026-04-16 04:20:54,328 [INFO] Iter=460, size=128, max=0.0000, avg=-3.0166, min=-12.1250, std=2.0716
Trainer: 2026-04-16 04:21:12,901 [INFO] Iter=470, size=128, max=-0.3750, avg=-3.4150, min=-12.6250, std=2.1811
Trainer: 2026-04-16 04:21:31,895 [INFO] Iter=480, size=128, max=-0.1250, avg=-3.0791, min=-9.3750, std=1.7709
Trainer: 2026-04-16 04:21:50,748 [INFO] Iter=490, size=128, max=-0.1250, avg=-3.2061, min=-9.8750, std=1.7838
Trainer: 2026-04-16 04:22:12,616 [INFO] Iter=500, size=128, max=-0.3750, avg=-2.9814, min=-10.0000, std=1.8974
Trainer: 2026-04-16 04:22:12,773 [INFO] [TEST] Iter=500, #tests=50, max=2.0000, avg=-1.1000, min=-5.0000, std=1.6279
Trainer: 2026-04-16 04:22:32,030 [INFO] Iter=510, size=128, max=0.2500, avg=-2.7920, min=-13.5000, std=2.1164
Trainer: 2026-04-16 04:22:49,850 [INFO] Iter=520, size=128, max=0.5000, avg=-2.5430, min=-11.0000, std=2.0766
Trainer: 2026-04-16 04:23:06,507 [INFO] Iter=530, size=128, max=0.7500, avg=-2.0859, min=-8.0000, std=1.6118
Trainer: 2026-04-16 04:23:23,183 [INFO] Iter=540, size=128, max=0.7500, avg=-1.6445, min=-7.1250, std=1.4698
Trainer: 2026-04-16 04:23:39,556 [INFO] Iter=550, size=128, max=0.5000, avg=-1.6846, min=-9.2500, std=1.6077
Trainer: 2026-04-16 04:23:39,679 [INFO] [TEST] Iter=550, #tests=50, max=2.0000, avg=0.1600, min=-2.0000, std=0.8090
Trainer: 2026-04-16 04:23:56,026 [INFO] Iter=560, size=128, max=0.6250, avg=-1.8105, min=-12.7500, std=2.0389
Trainer: 2026-04-16 04:24:12,400 [INFO] Iter=570, size=128, max=0.7500, avg=-1.5908, min=-9.8750, std=1.6290
Trainer: 2026-04-16 04:24:28,703 [INFO] Iter=580, size=128, max=0.7500, avg=-1.3076, min=-5.1250, std=1.2862
Trainer: 2026-04-16 04:24:45,045 [INFO] Iter=590, size=128, max=0.7500, avg=-1.2383, min=-7.3750, std=1.1728
Trainer: 2026-04-16 04:25:01,572 [INFO] Iter=600, size=128, max=1.0000, avg=-1.5693, min=-15.2500, std=1.9155
Trainer: 2026-04-16 04:25:01,693 [INFO] [TEST] Iter=600, #tests=50, max=3.0000, avg=0.0000, min=-3.0000, std=1.2166
Trainer: 2026-04-16 04:25:17,938 [INFO] Iter=610, size=128, max=0.6250, avg=-1.1699, min=-5.2500, std=1.0766
Trainer: 2026-04-16 04:25:34,249 [INFO] Iter=620, size=128, max=0.5000, avg=-1.3906, min=-5.8750, std=1.2994
Trainer: 2026-04-16 04:25:50,577 [INFO] Iter=630, size=128, max=1.1250, avg=-0.9375, min=-7.0000, std=1.3758
Trainer: 2026-04-16 04:26:07,165 [INFO] Iter=640, size=128, max=0.3750, avg=-1.1934, min=-7.2500, std=1.1879
Trainer: 2026-04-16 04:26:23,703 [INFO] Iter=650, size=128, max=0.8750, avg=-0.9111, min=-6.5000, std=1.1284
Trainer: 2026-04-16 04:26:23,821 [INFO] [TEST] Iter=650, #tests=50, max=2.0000, avg=-0.0400, min=-2.0000, std=0.8237
Trainer: 2026-04-16 04:26:40,181 [INFO] Iter=660, size=128, max=0.5000, avg=-0.9658, min=-6.2500, std=1.1405
Trainer: 2026-04-16 04:26:56,503 [INFO] Iter=670, size=128, max=0.5000, avg=-1.2529, min=-6.6250, std=1.2319
Trainer: 2026-04-16 04:27:12,813 [INFO] Iter=680, size=128, max=0.5000, avg=-1.0322, min=-8.7500, std=1.2472
Trainer: 2026-04-16 04:27:29,095 [INFO] Iter=690, size=128, max=0.5000, avg=-0.9814, min=-5.8750, std=1.0909
Trainer: 2026-04-16 04:27:47,251 [INFO] Iter=700, size=128, max=0.5000, avg=-0.8721, min=-4.5000, std=0.9006
Trainer: 2026-04-16 04:27:47,374 [INFO] [TEST] Iter=700, #tests=50, max=2.0000, avg=0.1800, min=-2.0000, std=0.7666
Trainer: 2026-04-16 04:28:03,715 [INFO] Iter=710, size=128, max=0.6250, avg=-0.6504, min=-5.8750, std=1.0623
Trainer: 2026-04-16 04:28:19,926 [INFO] Iter=720, size=128, max=0.7500, avg=-0.9922, min=-4.6250, std=0.9401
Trainer: 2026-04-16 04:28:36,305 [INFO] Iter=730, size=128, max=0.8750, avg=-0.9043, min=-6.3750, std=1.0257
Trainer: 2026-04-16 04:28:52,644 [INFO] Iter=740, size=128, max=0.5000, avg=-1.0928, min=-11.2500, std=1.5955
Trainer: 2026-04-16 04:29:09,585 [INFO] Iter=750, size=128, max=0.5000, avg=-1.0840, min=-7.3750, std=1.2362
Trainer: 2026-04-16 04:29:09,730 [INFO] [TEST] Iter=750, #tests=50, max=2.0000, avg=-0.4400, min=-3.0000, std=1.0613
Trainer: 2026-04-16 04:29:26,275 [INFO] Iter=760, size=128, max=0.5000, avg=-0.8867, min=-12.8750, std=1.5202
Trainer: 2026-04-16 04:29:42,487 [INFO] Iter=770, size=128, max=0.6250, avg=-0.7129, min=-4.6250, std=0.9718
Trainer: 2026-04-16 04:29:58,779 [INFO] Iter=780, size=128, max=0.8750, avg=-0.6016, min=-6.5000, std=1.0609
